Season,Team,W,,,,,
2011-12,San Antonio Spurs ,50,,,,,
2011-12,Utah Jazz ,36,,,,,
2011-12,Atlanta Hawks ,40,,,,,
2011-12,Boston Celtics ,39,,,,,
2011-12,Charlotte Bobcats,7,,,,,
2011-12,Chicago Bulls ,50,,,,,
2011-12,Cleveland Cavaliers,21,,,,,
2011-12,Detroit Pistons,25,,,,,
2011-12,Indiana Pacers ,42,,,,,
2011-12,Miami Heat ,46,,,,,
2011-12,Milwaukee Bucks,31,,,,,
2011-12,New Jersey Nets,22,,,,,
2011-12,New York Knicks ,36,,,,,
2011-12,Orlando Magic ,37,,,,,
2011-12,Philadelphia 76ers ,35,,,,,
2011-12,Toronto Raptors,23,,,,,
2011-12,Washington Wizards,20,,,,,
2012-13,Dallas Mavericks,41,,,,,
2012-13,Denver Nuggets ,57,,,,,
2012-13,Golden State Warriors ,47,,,,,
2012-13,Houston Rockets ,45,,,,,
2012-13,Los Angeles Clippers ,56,,,,,
2012-13,Los Angeles Lakers ,45,,,,,
2012-13,Memphis Grizzlies ,56,,,,,
2012-13,Minnesota Timberwolves,31,,,,,
2012-13,New Orleans Hornets,27,,,,,
2012-13,Oklahoma City Thunder ,60,,,,,
2012-13,Phoenix Suns,25,,,,,
2012-13,Portland Trail Blazers,33,,,,,
2012-13,Sacramento Kings,28,,,,,
2012-13,San Antonio Spurs ,58,,,,,
2012-13,Utah Jazz,43,,,,,
2012-13,Atlanta Hawks ,44,,,,,
2012-13,Boston Celtics ,41,,,,,
2012-13,Brooklyn Nets ,49,,,,,
2012-13,Charlotte Bobcats,21,,,,,
2012-13,Chicago Bulls ,45,,,,,
2012-13,Cleveland Cavaliers,24,,,,,
2012-13,Detroit Pistons,29,,,,,
2012-13,Indiana Pacers ,49,,,,,
2012-13,Miami Heat ,66,,,,,
2012-13,Milwaukee Bucks ,38,,,,,
2012-13,New York Knicks ,54,,,,,
2012-13,Orlando Magic,20,,,,,
2012-13,Philadelphia 76ers,34,,,,,
2012-13,Toronto Raptors,34,,,,,
2012-13,Washington Wizards,29,,,,,
2013-14,Dallas Mavericks ,49,,,,,
2013-14,Denver Nuggets,36,,,,,
2013-14,Golden State Warriors ,51,,,,,
2013-14,Houston Rockets ,54,,,,,
2013-14,Los Angeles Clippers ,57,,,,,
2013-14,Los Angeles Lakers,27,,,,,
2013-14,Memphis Grizzlies ,50,,,,,
2013-14,Minnesota Timberwolves,40,,,,,
2013-14,New Orleans Pelicans,34,,,,,
2013-14,Oklahoma City Thunder ,59,,,,,
2013-14,Phoenix Suns,48,,,,,
2013-14,Portland Trail Blazers ,54,,,,,
2013-14,Sacramento Kings,28,,,,,
2013-14,San Antonio Spurs ,62,,,,,
2013-14,Utah Jazz,25,,,,,
2013-14,Atlanta Hawks ,38,,,,,
2013-14,Boston Celtics,25,,,,,
