Name,ASG,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,GDP,SF,SH,BA,OBP,SLG,OPS
Fred Clarke,0,67.9,2246,9860,8584,1622,2678,361,220,67,1015,509,0,875,511,,,,225,0.312,0.386,0.429,0.814
John Clarkson,0,-1.8,546,2060,1974,254,432,73,26,24,232,31,,81,382,,,,4,0.219,0.25,0.319,0.569
Roberto Clemente,15,94.8,2433,10212,9454,1416,3000,440,166,240,1305,83,46,621,1230,167,275,66,36,0.317,0.359,0.475,0.834
Ty Cobb,0,150.9,3034,13103,11440,2245,4189,724,295,117,1944,897,212,1249,680,0,,,292,0.366,0.433,0.512,0.944
Mickey Cochrane,2,49.2,1482,6211,5169,1041,1652,333,64,119,830,64,45,857,217,8,,,151,0.32,0.419,0.478,0.897
Eddie Collins,0,123.9,2826,12087,9949,1821,3315,438,187,47,1299,741,195,1499,467,1,,,512,0.333,0.424,0.429,0.853
Jimmy Collins,0,53.3,1725,7460,6795,1055,1999,352,116,65,983,194,,426,266,,,,147,0.294,0.343,0.409,0.752
Earle Combs,0,43.9,1455,6514,5746,1186,1866,309,154,58,633,98,71,670,278,8,,,74,0.325,0.397,0.462,0.859
Charlie Comiskey,0,7.7,1390,6040,5796,992,1529,207,68,28,883,416,,197,132,,,,5,0.264,0.293,0.337,0.63
Jocko Conlan,0,-0.7,128,417,365,55,96,18,4,0,31,5,5,33,13,0,,,17,0.263,0.328,0.334,0.662
Roger Connor,0,84.3,1998,8847,7797,1620,2467,441,233,138,1323,244,,1002,455,,,,9,0.316,0.397,0.486,0.883
Stan Coveleski,0,-5.1,451,1197,1058,70,168,26,10,1,81,0,1,53,309,0,,,72,0.159,0.202,0.205,0.407
Bobby Cox,0,0.9,220,719,628,50,141,22,2,9,58,3,3,75,126,14,17,7,3,0.225,0.31,0.309,0.619
Sam Crawford,0,75.3,2517,10625,9570,1391,2961,458,309,97,1523,367,43,760,580,,,,241,0.309,0.362,0.452,0.814
Joe Cronin,7,64,2124,8840,7579,1233,2285,515,118,170,1424,87,71,1059,700,41,57,,166,0.301,0.39,0.468,0.857
Candy Cummings,0,-2.1,247,1084,1068,149,227,29,9,0,107,3,2,16,51,,4,,,0.213,0.224,0.257,0.481
Kiki Cuyler,1,46.8,1879,8100,7161,1305,2299,394,157,128,1065,328,127,676,752,17,53,,176,0.321,0.386,0.474,0.86
George Davis,0,84.9,2372,10186,9045,1545,2665,453,163,73,1440,619,,874,613,,,,184,0.295,0.362,0.405,0.767
Andre Dawson,8,64.8,2627,10769,9927,1373,2774,503,98,438,1591,314,109,589,1509,143,217,118,24,0.279,0.323,0.482,0.806
Dizzy Dean,4,2.1,325,766,717,76,161,23,4,8,76,5,3,9,104,0,12,,39,0.225,0.235,0.301,0.536
Ed Delahanty,0,69.6,1837,8402,7510,1600,2597,522,186,101,1466,456,,742,439,,,,54,0.346,0.411,0.505,0.917
Bill Dickey,11,57.2,1789,7065,6300,930,1969,343,72,202,1209,36,32,678,289,101,49,,51,0.313,0.382,0.486,0.868
Joe DiMaggio,13,79.1,1736,7672,6821,1390,2214,389,131,361,1537,30,9,790,369,111,130,,14,0.325,0.398,0.579,0.977
Larry Doby,7,49.2,1533,6302,5348,960,1515,243,52,253,970,47,36,871,1011,60,97,25,20,0.283,0.386,0.49,0.876
Bobby Doerr,9,51.1,1865,8030,7093,1094,2042,381,89,223,1247,54,64,809,608,53,187,,115,0.288,0.362,0.461,0.823
Don Drysdale,9,5.8,547,1309,1169,96,218,26,7,29,113,0,2,60,370,0,34,6,69,0.186,0.228,0.295,0.523
Hugh Duffy,0,43.1,1737,7842,7044,1554,2293,325,119,106,1302,574,,664,268,,,,104,0.326,0.386,0.451,0.837
Leo Durocher,3,4.1,1637,5829,5350,575,1320,210,56,24,567,31,41,377,480,34,109,,82,0.247,0.299,0.32,0.619
Dennis Eckersley,6,-0.2,218,196,181,9,24,3,0,3,12,0,0,9,84,0,1,1,5,0.133,0.173,0.199,0.372
Johnny Evers,0,47.7,1784,7230,6137,919,1659,216,70,12,536,324,26,778,293,0,,,256,0.27,0.356,0.334,0.69
Buck Ewing,0,48,1315,5772,5363,1129,1625,250,178,71,883,354,,392,294,,,,8,0.303,0.351,0.456,0.807
Red Faber,0,-3.7,670,1559,1269,98,170,21,2,3,71,7,0,169,479,0,,,104,0.134,0.24,0.161,0.401
Bob Feller,8,-1.8,570,1486,1282,99,193,28,13,8,99,1,2,100,505,0,15,0,100,0.151,0.214,0.211,0.425
Rick Ferrell,8,31.1,1884,7076,6028,687,1692,324,45,28,734,29,35,931,277,68,55,,103,0.281,0.378,0.363,0.741
Rollie Fingers,7,0.6,497,201,180,10,31,3,0,2,9,0,0,3,45,0,2,0,18,0.172,0.186,0.222,0.408
